Time (s),Tasks #
1.0,1122
7.0,835
0.001,541
2.0,738
2331.0,1
4018.0,1
61.0,118
95.0,7
661.0,10
77.0,8
5.0,54
2853.0,1
1255.0,7
36.0,512
9.0,1716
1035.0,10
685.0,7
612.0,8
870.0,13
34.0,440
594.0,12
487.0,8
912.0,9
875.0,9
959.0,15
1061.0,6
33.0,601
1277.0,1
437.0,7
740.0,6
6196.0,1
12.0,7
561.0,8
100.0,4
2570.0,2
3744.0,2
3381.0,1
153.0,4
987.0,5
2600.0,1
2724.0,3
11.0,43
3.0,83
6116.0,1
2512.0,3
2692.0,2
5164.0,1
985.0,6
2657.0,1
102.0,7
451.0,5
93.0,5
110.0,5
72.0,6
1318.0,1
725.0,6
1022.0,11
425.0,6
459.0,11
731.0,9
722.0,9
600.0,5
1118.0,10
872.0,12
996.0,12
651.0,12
1209.0,11
898.0,6
462.0,10
1224.0,5
885.0,8
3020.0,1
64.0,7
940.0,6
53.0,5
2916.0,3
70.0,6
167.0,3
50.0,4
583.0,9
2675.0,2
2651.0,1
3305.0,1
3805.0,1
2468.0,1
622.0,10
5937.0,1
1633.0,1
66.0,7
161.0,3
5077.0,1
1766.0,1
48.0,4
2788.0,1
1864.0,1
5524.0,1
51.0,6
3074.0,1
2640.0,2
522.0,7
855.0,9
2688.0,1
2405.0,2
2437.0,2
2696.0,1
435.0,6
2555.0,1
59.0,5
24.0,443
20.0,550
18.0,1552
104.0,1
2712.0,2
809.0,11
2168.0,1
2864.0,1
31.0,156
501.0,5
520.0,5
1242.0,9
675.0,7
664.0,9
888.0,9
822.0,15
631.0,11
975.0,9
446.0,2
533.0,9
1161.0,16
472.0,7
1048.0,9
696.0,15
642.0,7
653.0,8
614.0,7
983.0,11
611.0,7
866.0,5
757.0,7
868.0,8
914.0,8
1081.0,17
609.0,6
564.0,13
894.0,14
674.0,9
814.0,12
585.0,8
820.0,12
901.0,11
775.0,17
707.0,8
748.0,10
1146.0,6
444.0,9
864.0,8
716.0,14
35.0,39
1227.0,7
733.0,11
781.0,13
801.0,14
1005.0,8
1220.0,8
892.0,10
1053.0,5
448.0,9
1170.0,9
535.0,10
1231.0,8
918.0,10
753.0,14
657.0,6
833.0,10
640.0,7
592.0,9
783.0,5
1207.0,7
464.0,8
1059.0,13
505.0,9
635.0,8
648.0,11
620.0,9
977.0,6
629.0,8
844.0,13
662.0,10
1266.0,2
550.0,6
905.0,7
1007.0,7
596.0,10
1046.0,6
500.0,16
1057.0,6
737.0,7
838.0,13
879.0,11
812.0,5
925.0,14
32.0,8
764.0,7
1044.0,6
1016.0,9
1229.0,11
1203.0,6
1090.0,9
1196.0,14
729.0,12
677.0,7
509.0,12
1174.0,14
529.0,7
1211.0,8
816.0,9
1185.0,9
862.0,7
931.0,11
438.0,8
570.0,5
705.0,12
1138.0,8
911.0,10
474.0,6
998.0,10
1040.0,9
709.0,10
750.0,13
950.0,11
877.0,12
562.0,9
887.0,9
540.0,9
924.0,9
688.0,7
724.0,5
692.0,8
607.0,9
751.0,7
1212.0,8
1062.0,7
588.0,5
598.0,8
468.0,5
1087.0,9
787.0,8
938.0,7
603.0,13
777.0,12
1168.0,10
557.0,9
666.0,8
525.0,7
1042.0,7
827.0,18
1166.0,8
1198.0,12
857.0,8
937.0,6
1105.0,7
800.0,9
1135.0,6
670.0,14
1070.0,10
988.0,5
1137.0,10
527.0,6
794.0,4
524.0,6
994.0,7
744.0,10
442.0,5
514.0,11
518.0,11
1111.0,7
1098.0,11
479.0,15
1112.0,12
811.0,10
455.0,9
625.0,10
466.0,11
618.0,8
650.0,4
909.0,8
1159.0,5
1253.0,12
711.0,14
1259.0,8
979.0,12
1251.0,9
1268.0,8
727.0,8
601.0,8
759.0,9
1107.0,9
659.0,6
1201.0,2
1187.0,8
1122.0,10
774.0,12
1235.0,5
1037.0,11
1144.0,6
1225.0,7
942.0,7
546.0,7
1846.0,1
2577.0,1
414.0,1
148.0,1
1362.0,1
87.0,6
2485.0,2
788.0,9
2583.0,1
165.0,2
2631.0,3
5851.0,1
2731.0,1
28.0,21
14.0,3
1072.0,5
796.0,11
961.0,4
770.0,9
555.0,14
842.0,8
831.0,7
970.0,10
1150.0,5
883.0,7
948.0,11
1003.0,4
542.0,9
738.0,9
1055.0,6
851.0,10
1050.0,4
861.0,8
1162.0,9
1101.0,9
1181.0,7
927.0,5
968.0,6
825.0,10
551.0,11
1079.0,10
779.0,6
1261.0,5
1001.0,7
490.0,6
1177.0,9
483.0,8
633.0,10
690.0,9
1083.0,7
992.0,9
1238.0,2
579.0,12
681.0,9
574.0,9
1133.0,6
477.0,6
488.0,10
512.0,11
1131.0,7
1066.0,10
1246.0,9
824.0,7
1192.0,4
1216.0,8
457.0,10
1262.0,8
761.0,9
492.0,10
1051.0,7
638.0,5
720.0,8
974.0,8
1264.0,10
907.0,12
1027.0,11
714.0,9
768.0,9
701.0,7
431.0,10
427.0,5
1148.0,3
683.0,11
829.0,7
429.0,4
1200.0,6
548.0,8
538.0,9
1129.0,7
587.0,8
835.0,10
712.0,9
766.0,10
790.0,7
957.0,11
1009.0,8
507.0,4
946.0,10
1205.0,7
846.0,9
1237.0,7
762.0,9
944.0,10
962.0,9
26.0,43
605.0,5
920.0,6
627.0,11
687.0,10
566.0,10
511.0,2
450.0,4
972.0,6
953.0,10
57.0,6
2875.0,1
1446.0,1
3251.0,1
955.0,2
818.0,9
481.0,7
668.0,7
803.0,8
3364.0,2
5905.0,1
2233.0,1
2737.0,1
124.0,3
2390.0,1
411.0,1
3872.0,1
2661.0,2
2890.0,1
3455.0,1
2759.0,2
142.0,4
2851.0,1
3112.0,1
68.0,2
3940.0,1
97.0,3
2029.0,1
2833.0,1
6366.0,1
2429.0,3
1153.0,5
1100.0,9
1088.0,7
966.0,5
1175.0,5
1014.0,12
922.0,8
568.0,12
644.0,7
62.0,7
2262.0,1
122.0,3
2938.0,1
3833.0,1
2777.0,1
1738.0,1
2812.0,1
157.0,1
2394.0,1
2350.0,2
2477.0,1
159.0,3
3809.0,1
2424.0,1
951.0,7
4585.0,1
75.0,5
1905.0,1
2461.0,1
6051.0,1
1970.0,1
3070.0,1
372.0,1
4777.0,1
859.0,9
5353.0,1
933.0,8
2775.0,2
89.0,6
46.0,3
2900.0,1
106.0,3
4033.0,1
1509.0,1
2700.0,2
120.0,3
2457.0,3
6159.0,1
2920.0,1
132.0,3
2959.0,1
3885.0,1
2300.0,1
155.0,2
3470.0,2
2803.0,1
2627.0,1
4738.0,1
3722.0,1
2887.0,1
5990.0,1
2274.0,1
2470.0,1
169.0,3
485.0,5
881.0,11
1116.0,8
553.0,5
1214.0,5
1190.0,12
577.0,12
22.0,5
107.0,1
616.0,7
837.0,17
475.0,7
1103.0,8
2672.0,2
916.0,7
108.0,4
1424.0,1
5859.0,1
146.0,5
5464.0,1
2203.0,1
3103.0,1
1179.0,7
1233.0,12
755.0,5
2664.0,2
3631.0,1
1962.0,1
929.0,12
559.0,8
1188.0,4
890.0,6
1085.0,7
1120.0,7
1031.0,10
1077.0,8
1240.0,8
646.0,7
1140.0,7
874.0,8
655.0,9
798.0,8
1033.0,2
496.0,8
703.0,8
433.0,8
498.0,8
1172.0,8
840.0,4
1164.0,6
694.0,11
672.0,10
1109.0,9
718.0,6
1094.0,6
1151.0,6
1218.0,7
1250.0,6
742.0,6
1142.0,7
1183.0,7
700.0,9
1270.0,9
903.0,5
1155.0,3
1194.0,7
1275.0,10
1012.0,9
637.0,7
1018.0,7
1274.0,4
440.0,9
572.0,6
1248.0,8
792.0,6
2362.0,1
2638.0,1
3168.0,1
2748.0,2
3127.0,1
575.0,9
1125.0,7
1075.0,7
896.0,6
494.0,4
1011.0,5
990.0,3
461.0,6
453.0,2
1257.0,9
1064.0,6
850.0,7
1127.0,6
1092.0,5
470.0,6
503.0,8
981.0,8
785.0,10
1244.0,4
1124.0,11
1096.0,5
746.0,6
1074.0,7
807.0,6
624.0,7
848.0,7
590.0,7
1024.0,10
134.0,2
2114.0,1
2646.0,1
2703.0,1
3109.0,2
2814.0,1
5846.0,1
3998.0,1
3098.0,1
1755.0,1
6405.0,1
2614.0,1
1222.0,5
6061.0,1
91.0,2
2990.0,1
2822.0,1
5314.0,1
1679.0,1
5872.0,1
2375.0,1
516.0,2
3185.0,1
4505.0,2
2481.0,1
2633.0,2
2070.0,1
4787.0,1
2779.0,1
16.0,1
29.0,2
698.0,7
1020.0,6
679.0,4
1527.0,1
2364.0,1
5303.0,1
3053.0,1
116.0,2
3801.0,1
4638.0,1
2525.0,2
6362.0,1
3681.0,1
2677.0,1
853.0,6
581.0,4
935.0,5
1000.0,2
4440.0,1
3085.0,1
74.0,4
2581.0,2
772.0,5
1029.0,5
805.0,6
1114.0,2
531.0,5
544.0,5
2674.0,1
4892.0,1
2705.0,1
1038.0,5
1157.0,2
2303.0,1
2635.0,1
6390.0,1
735.0,3
2735.0,1
2074.0,2
6187.0,1
4670.0,1
2157.0,1
2490.0,1
964.0,7
2975.0,1
6359.0,1
2568.0,1
42.0,2
1396.0,1
2325.0,1
4120.0,1
374.0,2
2464.0,1
128.0,2
3055.0,1
2455.0,1
2618.0,1
2407.0,1
1462.0,1
1025.0,2
2690.0,1
3731.0,1
3129.0,1
392.0,1
2398.0,1
3409.0,1
112.0,1
900.0,2
163.0,1
5731.0,1
353.0,1
2557.0,2
1068.0,3
2764.0,1
2859.0,1
2374.0,1
4114.0,1
5168.0,1
2872.0,1
1375.0,1
2279.0,2
3512.0,1
2905.0,1
2518.0,1
3683.0,1
55.0,3
3405.0,1
5594.0,1
37.0,2
2679.0,1
2587.0,1
3442.0,1
4131.0,1
4209.0,1
2448.0,1
2024.0,1
3788.0,1
3896.0,1
4998.0,1
2681.0,1
2718.0,2
537.0,1
2479.0,1
2707.0,2
44.0,1
4300.0,1
2046.0,1
3551.0,1
2753.0,1
4231.0,1
2264.0,1
335.0,1
2901.0,1
3679.0,1
2746.0,1
3759.0,1
2918.0,1
1272.0,2
3150.0,1
2827.0,1
5677.0,1
1988.0,1
40.0,1
4025.0,1
85.0,1
2179.0,1
2483.0,1
3346.0,1
3170.0,1
126.0,2
2716.0,1
3200.0,1
3344.0,1
3709.0,1
2435.0,1
1435.0,1
2218.0,1
3325.0,1
5766.0,1
2625.0,1
362.0,1
144.0,1
118.0,1
1875.0,1
5811.0,1
2818.0,1
5207.0,1
2685.0,1
2198.0,1
3131.0,1
4548.0,2
2309.0,1
2940.0,1
5633.0,1
1333.0,1
422.0,1
2805.0,1
4718.0,1
2727.0,1
114.0,1
2466.0,1
2207.0,1
3533.0,1
2401.0,1
3288.0,1
38.0,1
2668.0,1
2740.0,1
5355.0,1
2242.0,1
2957.0,1
151.0,1
2988.0,1
394.0,1
94.0,1
